SIM,SOLVER,DETECTOR,INTEGRATOR,NUMROW,TIME
RAI,RAI,RAI,RAI,1,0.52112
RAI,RAI,RAI,RAI,1,0.515147
RAI,RAI,RAI,RAI,1,0.498111
RAI,RAI,RAI,RAI,1,0.514358
RAI,RAI,RAI,RAI,1,0.518032
RAI,RAI,RAI,RAI,1,0.508625
RAI,RAI,RAI,RAI,1,0.541536
RAI,RAI,RAI,RAI,1,0.589776
RAI,RAI,RAI,RAI,1,0.568324
RAI,RAI,RAI,RAI,1,0.55532
RAI,RAI,RAI,RAI,2,2.57828
RAI,RAI,RAI,RAI,2,2.54397
RAI,RAI,RAI,RAI,2,2.57158
RAI,RAI,RAI,RAI,2,2.5447
RAI,RAI,RAI,RAI,2,2.53407
RAI,RAI,RAI,RAI,2,2.56363
RAI,RAI,RAI,RAI,2,2.5137
RAI,RAI,RAI,RAI,2,2.54768
RAI,RAI,RAI,RAI,2,2.47611
RAI,RAI,RAI,RAI,2,2.54022
RAI,RAI,RAI,RAI,3,5.78299
RAI,RAI,RAI,RAI,3,5.91824
RAI,RAI,RAI,RAI,3,5.98298
RAI,RAI,RAI,RAI,3,6.08908
RAI,RAI,RAI,RAI,3,5.92234
RAI,RAI,RAI,RAI,3,5.95705
RAI,RAI,RAI,RAI,3,5.8827
RAI,RAI,RAI,RAI,3,5.9308
RAI,RAI,RAI,RAI,3,5.69593
RAI,RAI,RAI,RAI,3,5.76759
RAI,RAI,RAI,RAI,4,10.6608
RAI,RAI,RAI,RAI,5,19.6547
RAI,RAI,RAI,RAI,7,40.3667
RAI,RAI,RAI,RAI,10,89.4469
RAI,RAI,RAI,RAI,15,272.331
BULLET,MULTIBODY,BULLET,BULLET,1,5.38392
BULLET,MULTIBODY,BULLET,BULLET,1,5.48304
BULLET,MULTIBODY,BULLET,BULLET,1,5.33552
BULLET,MULTIBODY,BULLET,BULLET,1,6.82944
BULLET,MULTIBODY,BULLET,BULLET,1,5.73204
BULLET,MULTIBODY,BULLET,BULLET,1,5.47334
BULLET,MULTIBODY,BULLET,BULLET,1,5.49552
BULLET,MULTIBODY,BULLET,BULLET,1,5.3813
BULLET,MULTIBODY,BULLET,BULLET,1,6.19495
BULLET,MULTIBODY,BULLET,BULLET,1,6.50131
BULLET,MULTIBODY,BULLET,BULLET,2,20.5758
BULLET,MULTIBODY,BULLET,BULLET,2,20.0831
BULLET,MULTIBODY,BULLET,BULLET,2,22.6564
BULLET,MULTIBODY,BULLET,BULLET,2,20.4005
BULLET,MULTIBODY,BULLET,BULLET,2,20.7351
BULLET,MULTIBODY,BULLET,BULLET,2,20.7442
BULLET,MULTIBODY,BULLET,BULLET,2,20.5491
BULLET,MULTIBODY,BULLET,BULLET,2,20.5132
BULLET,MULTIBODY,BULLET,BULLET,2,20.2841
BULLET,MULTIBODY,BULLET,BULLET,2,20.744
BULLET,MULTIBODY,BULLET,BULLET,3,49.8836
BULLET,MULTIBODY,BULLET,BULLET,3,47.4411
BULLET,MULTIBODY,BULLET,BULLET,3,48.1186
BULLET,MULTIBODY,BULLET,BULLET,3,48.2993
BULLET,MULTIBODY,BULLET,BULLET,3,47.1974
BULLET,MULTIBODY,BULLET,BULLET,3,46.9366
BULLET,MULTIBODY,BULLET,BULLET,3,45.2925
BULLET,MULTIBODY,BULLET,BULLET,3,45.3359
BULLET,MULTIBODY,BULLET,BULLET,3,45.365
BULLET,MULTIBODY,BULLET,BULLET,3,46.3511
BULLET,MULTIBODY,BULLET,BULLET,4,80.8836
BULLET,MULTIBODY,BULLET,BULLET,5,134.421
DART,DANTZIG,BULLET,DART,1,5.84031
DART,DANTZIG,BULLET,DART,1,5.8338
DART,DANTZIG,BULLET,DART,1,5.67983
DART,DANTZIG,BULLET,DART,1,5.74974
DART,DANTZIG,BULLET,DART,1,5.77373
DART,DANTZIG,BULLET,DART,1,6.66439
DART,DANTZIG,BULLET,DART,1,5.84804
DART,DANTZIG,BULLET,DART,1,5.75785
DART,DANTZIG,BULLET,DART,1,5.8309
DART,DANTZIG,BULLET,DART,1,5.91782
DART,DANTZIG,BULLET,DART,2,18.202
DART,DANTZIG,BULLET,DART,2,18.5521
